"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c4","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Dishonest-Honest",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c4","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Dishonest-Honest",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c4","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Dishonest-Honest",NA,"Honest",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c5","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Cold-Warm",NA,"Cold",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c5","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Cold-Warm",NA,NA,2
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c5","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Cold-Warm",NA,NA,3
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c5","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Cold-Warm",NA,NA,4
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c5","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Cold-Warm",NA,"Warm",5
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c8","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Aggressive-Not aggressive",NA,"Aggressive",1
"balmas2018_leader_personality","balmas2018_leader_personality_characteristics","c8","Leader/citizen exemplar evaluation (Study 1) -- attitude, respect and trait ratings",NA,"On a scale of 1 to 5, rate your position regarding [Germany; Israel] and/or [German; Israel] citizens with respect of each of the following characteristics:","Aggressive-Not aggressive",NA,NA,2
