"table","section_id","item","item_text","correct_response","section_prompt","instrument","instructions","option_text","resp"
"amarilla_2020_sf12","amarilla_2020_sf12_1","RMH3","These questions are about how you have been feeling during the past 4 weeks. For each question, give the one answer that comes closest to the way you have been feeling. How much of the time during the past 4 weeks... Have you felt calm & peaceful?",NA,NA,"SF-12 Health Survey",NA,"None of the time",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","RMH3","These questions are about how you have been feeling during the past 4 weeks. For each question, give the one answer that comes closest to the way you have been feeling. How much of the time during the past 4 weeks... Have you felt calm & peaceful?",NA,NA,"SF-12 Health Survey",NA,"Most of the time",5
"amarilla_2020_sf12","amarilla_2020_sf12_1","RP2","During the PAST 4 WEEKS have you had any of the following problems with your work or other regular activities AS A RESULT OF YOUR PHYSICAL HEALTH? Accomplished less than you would like:",NA,NA,"SF-12 Health Survey",NA,"No",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","RP2","During the PAST 4 WEEKS have you had any of the following problems with your work or other regular activities AS A RESULT OF YOUR PHYSICAL HEALTH? Accomplished less than you would like:",NA,NA,"SF-12 Health Survey",NA,"Yes",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","RP3","During the PAST 4 WEEKS have you had any of the following problems with your work or other regular activities AS A RESULT OF YOUR PHYSICAL HEALTH? Were limited in the kind of work or other activities:",NA,NA,"SF-12 Health Survey",NA,"Yes",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","RP3","During the PAST 4 WEEKS have you had any of the following problems with your work or other regular activities AS A RESULT OF YOUR PHYSICAL HEALTH? Were limited in the kind of work or other activities:",NA,NA,"SF-12 Health Survey",NA,"No",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","RVT2","Did you have a lot of energy?",NA,NA,"SF-12 Health Survey",NA,"All of the time",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","RVT2","Did you have a lot of energy?",NA,NA,"SF-12 Health Survey",NA,"Most of the time",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","RVT2","Did you have a lot of energy?",NA,NA,"SF-12 Health Survey",NA,"A little of the time",5
"amarilla_2020_sf12","amarilla_2020_sf12_1","RVT2","Did you have a lot of energy?",NA,NA,"SF-12 Health Survey",NA,"None of the time",6
"amarilla_2020_sf12","amarilla_2020_sf12_1","RVT2","Did you have a lot of energy?",NA,NA,"SF-12 Health Survey",NA,"A good bit of the time",3
"amarilla_2020_sf12","amarilla_2020_sf12_1","RVT2","Did you have a lot of energy?",NA,NA,"SF-12 Health Survey",NA,"Some of the time",4
"amarilla_2020_sf12","amarilla_2020_sf12_1","SF2","During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting friends, relatives, etc.)?",NA,NA,"SF-12 Health Survey",NA,"None of the time",1
"amarilla_2020_sf12","amarilla_2020_sf12_1","SF2","During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting friends, relatives, etc.)?",NA,NA,"SF-12 Health Survey",NA,"A little of the time",2
"amarilla_2020_sf12","amarilla_2020_sf12_1","SF2","During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting friends, relatives, etc.)?",NA,NA,"SF-12 Health Survey",NA,"Some of the time",3
"amarilla_2020_sf12","amarilla_2020_sf12_1","SF2","During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting friends, relatives, etc.)?",NA,NA,"SF-12 Health Survey",NA,"Most of the time",4
"amarilla_2020_sf12","amarilla_2020_sf12_1","SF2","During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting friends, relatives, etc.)?",NA,NA,"SF-12 Health Survey",NA,"All of the time",5
