"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declgreeting","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a handshake, are you able to keep {{distRec}} distance from others?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declgreeting","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a handshake, are you able to keep {{distRec}} distance from others?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declgreeting","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a handshake, are you able to keep {{distRec}} distance from others?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declgreeting","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a handshake, are you able to keep {{distRec}} distance from others?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declgreeting","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a handshake, are you able to keep {{distRec}} distance from others?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declhug","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a hug, are you able to keep {{distRec}} distance from others?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declhug","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a hug, are you able to keep {{distRec}} distance from others?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declhug","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a hug, are you able to keep {{distRec}} distance from others?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declhug","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a hug, are you able to keep {{distRec}} distance from others?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","declhug","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if somebody wants to give you a hug, are you able to keep {{distRec}} distance from others?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","estdist","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to keep {{distRec}} distance from others if it requires you to estimate distances?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","estdist","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to keep {{distRec}} distance from others if it requires you to estimate distances?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","estdist","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to keep {{distRec}} distance from others if it requires you to estimate distances?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","estdist","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to keep {{distRec}} distance from others if it requires you to estimate distances?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","estdist","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to keep {{distRec}} distance from others if it requires you to estimate distances?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","meetcare","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you meet someone you care about, are you able to keep {{distRec}} distance from others?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","meetcare","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you meet someone you care about, are you able to keep {{distRec}} distance from others?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","meetcare","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you meet someone you care about, are you able to keep {{distRec}} distance from others?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","meetcare","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you meet someone you care about, are you able to keep {{distRec}} distance from others?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","meetcare","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you meet someone you care about, are you able to keep {{distRec}} distance from others?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remem","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to remember to keep {{distRec}} distance from others?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remem","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to remember to keep {{distRec}} distance from others?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remem","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to remember to keep {{distRec}} distance from others?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remem","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to remember to keep {{distRec}} distance from others?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remem","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, are you able to remember to keep {{distRec}} distance from others?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remexer","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out to exercise, are you able to remember to keep {{distRec}} distance from others?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remexer","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out to exercise, are you able to remember to keep {{distRec}} distance from others?",NA,NA,2
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remexer","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out to exercise, are you able to remember to keep {{distRec}} distance from others?",NA,NA,3
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remexer","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out to exercise, are you able to remember to keep {{distRec}} distance from others?",NA,NA,4
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remexer","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out to exercise, are you able to remember to keep {{distRec}} distance from others?",NA,"absolutely able",5
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remwalk","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out for a walk, are you able to remember to keep {{distRec}} distance from others?",NA,"not able at all",1
"peters_2025_pbc_skill_prob","peters_2025_pbc_skill_prob_1","remwalk","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived Behavioral Control items, perceived subskill presence component","English; Dutch; Romanian; Italian; Portuguese (Brazil); Turkish; French; Spanish; Indonesian; Portuguese; Greek; German; Hungarian; Amharic; Arabic; Polish; Chinese (Simplified); Chinese (Traditional, Hong Kong); Japanese; Hebrew",NA,NA,"Typically, if you go out for a walk, are you able to remember to keep {{distRec}} distance from others?",NA,NA,2
