"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D3","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I am bitten by mosquitoes every day, but I have never been infected with dengue fever. So, I am not at risk of getting dengue fever.",NA,"Strongly Disagree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,"Strongly Disagree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D4","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Dengue fever can cause death.",NA,"Strongly Agree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,"Strongly Disagree",1
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,NA,2
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,NA,3
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,NA,4
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,NA,5
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,NA,6
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,NA,7
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D5","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"Fever for 3 days is worrisome to me. I feel that I cannot wait up to 5 days to get treatment.",NA,"Strongly Agree",8
"zamzuri_2021_rpap_risk_perception","zamzuri_2021_rpap_risk_perception_1","D6","Risk Perception, Attitude and Practice (RPAP) questionnaire on dengue infection: Risk Perception domain","English; Malay",NA,NA,"I have many close friends who have recovered from dengue fever, but I am still afraid of dengue.",NA,"Strongly Disagree",1
