"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mental_health_malawi","mental_health_malawi_1",5,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do your grades or school-work suffer because of the amount of time you spend on-line?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",5,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do your grades or school-work suffer because of the amount of time you spend on-line?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",5,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do your grades or school-work suffer because of the amount of time you spend on-line?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",6,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you check your e-mail before something else that you need to do?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",6,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you check your e-mail before something else that you need to do?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",6,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you check your e-mail before something else that you need to do?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",6,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you check your e-mail before something else that you need to do?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",6,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you check your e-mail before something else that you need to do?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",7,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often does your job performance or productivity suffer because of the Internet?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",7,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often does your job performance or productivity suffer because of the Internet?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",7,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often does your job performance or productivity suffer because of the Internet?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",7,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often does your job performance or productivity suffer because of the Internet?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",7,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often does your job performance or productivity suffer because of the Internet?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",8,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you become defensive or secretive when anyone asks you what you do on-line?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",8,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you become defensive or secretive when anyone asks you what you do on-line?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",8,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you become defensive or secretive when anyone asks you what you do on-line?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",8,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you become defensive or secretive when anyone asks you what you do on-line?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",8,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you become defensive or secretive when anyone asks you what you do on-line?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",9,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",9,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",9,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",9,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",9,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",10,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you find yourself anticipating when you will go on-line again?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",10,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you find yourself anticipating when you will go on-line again?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",10,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you find yourself anticipating when you will go on-line again?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",10,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you find yourself anticipating when you will go on-line again?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",10,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you find yourself anticipating when you will go on-line again?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",11,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you fear that life without the Internet would be boring, empty, and joyless?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",11,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you fear that life without the Internet would be boring, empty, and joyless?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",11,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you fear that life without the Internet would be boring, empty, and joyless?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",11,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you fear that life without the Internet would be boring, empty, and joyless?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",11,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you fear that life without the Internet would be boring, empty, and joyless?",NA,"Always",5
"mental_health_malawi","mental_health_malawi_1",12,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?",NA,"Rarely",1
"mental_health_malawi","mental_health_malawi_1",12,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?",NA,"Occasionally",2
"mental_health_malawi","mental_health_malawi_1",12,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?",NA,"Frequently",3
"mental_health_malawi","mental_health_malawi_1",12,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?",NA,"Often",4
"mental_health_malawi","mental_health_malawi_1",12,"Internet Addiction Test (IAT; Young 1998), administered as 'The Internet and Social Media Use Test' in Mwakilama, Jamu, Senganimalunje & Manda (2022), 'Data on Internet Addiction and Mental Health among university students in Malawi', Mendeley Data V3, doi:10.17632/xbfbcy5bhv.3","This section is designed to assess your level of Internet and Social Media use. To assess your level of addiction, answer the following questions using this scale.",NA,"How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?",NA,"Always",5
