"table","section_id","item","item_text","correct_response","instrument","instructions","section_prompt","option_text","resp"
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis5","People would enjoy hurting others if they gave it a go.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis5","People would enjoy hurting others if they gave it a go.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis5","People would enjoy hurting others if they gave it a go.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis5","People would enjoy hurting others if they gave it a go.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis6","I have fantasies which involve hurting people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis6","I have fantasies which involve hurting people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis6","I have fantasies which involve hurting people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis6","I have fantasies which involve hurting people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis6","I have fantasies which involve hurting people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis7","I have hurt people because I could.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis7","I have hurt people because I could.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis7","I have hurt people because I could.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis7","I have hurt people because I could.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis7","I have hurt people because I could.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis8r","I wouldn't intentionally hurt anyone.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis8r","I wouldn't intentionally hurt anyone.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis8r","I wouldn't intentionally hurt anyone.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis8r","I wouldn't intentionally hurt anyone.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis8r","I wouldn't intentionally hurt anyone.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis9","I have humiliated others to keep them in line.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis9","I have humiliated others to keep them in line.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis9","I have humiliated others to keep them in line.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis9","I have humiliated others to keep them in line.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis9","I have humiliated others to keep them in line.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis10","Sometimes I get so angry I want to hurt people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly disagree",1
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis10","Sometimes I get so angry I want to hurt people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat disagree",2
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis10","Sometimes I get so angry I want to hurt people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Neither agree nor disagree",3
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis10","Sometimes I get so angry I want to hurt people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Somewhat agree",4
"hyatt_2023_aggression_s3_ssis","hyatt_2023_aggression_s3_ssis_1","ssis10","Sometimes I get so angry I want to hurt people.",NA,"Short Sadistic Impulse Scale (SSIS; O'Meara, Davies, & Hammond, 2011)",NA,NA,"Strongly agree",5
