source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0164182,Assessment of Cataract Surgery Outcome Using the Modified Catquest Short-Form Instrument in China,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0164182,cc-by,human_assistance,"QC failed on: resp_variation* | QC warnings to review: resp_direction*, imputed_values* | SI caption: The Catquest-8SF-CN- Raw to Rasch conversion.   https://doi.",All relevant data are within the paper.,,journal.pone.0164182_S1_File.xls,800.0,100.0,8.0,1.0,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0165566,Comparing Self-Report Measures of Internalized Weight Stigma: The Weight Self-Stigma Questionnaire versus the Weight Bias Internalization Scale,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0165566,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale* | SI caption: Supporting Data.   https://doi.org/10.1371/journal.pone.0165",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0165566_S1_Data.sav,1069.0,34.0,14.0,2.2458,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0186294,Demonstrating the reliability of transdiagnostic mHealth Routine Outcome Monitoring in mental health services using experience sampling technology,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0186294,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: mROM data for multilevel data analyses.   https://doi.org/10",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0186294_S1_Data.xlsx,44329.0,64.0,16.0,43.29,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0269488,Development and validation of an end stage kidney disease awareness survey: Item difficulty and discrimination indices,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0269488,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Q1', 'Q2', 'Q3', 'Q4', 'Q7', 'Q8', 'Q9', 'Q14', 'Q15', 'Q39', 'Q5', 'Q6', 'Q10', 'Q11', 'Q12', 'Q13', 'Q16', 'Q17', 'Q18', 'Q19', 'Q20', 'Q21', 'Q36', 'Q37', 'Q38', 'Q40', 'Q41', 'Q42', 'Q43', 'Q44', 'Q45', 'Q22', 'Q23', 'Q2",All relevant data are within the paper and its  Supporting Information  files.,,journal.pone.0269488_S1_Appendix.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0242625,Manual ability in hand surgery patients: Validation of the ABILHAND scale in four diagnostic groups,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0242625,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Item', 'French label', 'English Label', 'Item origin 1', 'Label (if different wording)', 'Item origin 2', 'Label (if different wording).1', 'Item origin 3', 'Label (if different wording).2'] | SI caption: The experimental 90-item ABILHAND questionnaire","The data in the study is based on patient material, and since there are many individual variables, there is a possibility that patients might be identified due to their comorbidities, patient characteristics and time of encounter. The study participants have not provided consent to publicly share th",,journal.pone.0242625_S1_Appendix.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0324711,Grocery shopping as an outcome measure: A scoping review,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0324711,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Author(s)', 'Publication Title', 'Publication Year', 'Study Location', 'Study Population Category', 'Specific Population', 'Study Setting', 'Patient reported specific measure', 'Result Category:  Cog / Motor or Physical Impairment/ Behavioral', 'Grocer",Data is found in the  Supporting information .,,journal.pone.0324711_S1_Table.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0273108,Living with a left ventricular assist device: Capturing recipients experiences using group concept mapping software,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0273108,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Rating maps', 'Relevance', 'Importance', 'Frequency', 'Bridging'] | SI caption: https://doi.org/10.1371/journal.pone.0273108.s004",All relevant data are within the article and its  Supporting Information  files.,,journal.pone.0273108_S1_Data.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0213077,"The validity, reliability and minimal clinically important difference of the patient specific functional scale in snake envenomation",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0213077,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'psfs_FUP_3.x' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['psfs_FUP_3.x', 'psfs_FUP_7.x', 'PFScore_FUP_7', 'COMBTSCO_FUP_7', 'lefs_FUP_3', 'lefs_FUP_7', 'dash_FUP_3', ",All data used in these analysis are available as supporting information with this publication.,,journal.pone.0213077_S1_Dataset.csv,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0127050,Translation of Questionnaires Measuring Health Related Quality of Life Is Not Standardized: A Literature Based Research Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0127050,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['abstract number ', 'Date for publication', 'Title', 'Abstract', 'Authors', 'Inclusion: x: yes ', 'Exclusion: 1: not questionnaire, 2: non translation, 3: not health related: 4: not british English, 5: not countries in Europe'] | SI caption: Abstract sc",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0127050_S1_Fig.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
plos,plosone,10.1371/journal.pone.0161593,The Qualification of Outcome after Cervical Spine Surgery by Patients Compared to the Neck Disability Index,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161593,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values* | SI caption: NDI original data.   https://doi.org/10.1371/journal.pone.01",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0161593_S2_File.xlsx,1682.0,2.0,12.0,70.0833,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
