table,shard,column,n_na
suicide_reinbergs_2025_gad,item_response_warehouse_2,cov_trans,8
suicide_reinbergs_2025_gad,item_response_warehouse_2,cov_gender,8
suicide_reinbergs_2025_gad,item_response_warehouse_2,cov_income,4
suicide_reinbergs_2025_gad,item_response_warehouse_2,cov_locale,2
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,cov_orientation,99
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,cov_trans,36
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,cov_gender,36
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,cov_income,18
suicide_reinbergs_2025_ghsq,item_response_warehouse_2,cov_locale,9
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,cov_orientation,132
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,cov_trans,48
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,cov_gender,48
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,cov_income,24
suicide_reinbergs_2025_mpfi,item_response_warehouse_2,cov_locale,12
suicide_reinbergs_2025_phq,item_response_warehouse_2,cov_orientation,99
suicide_reinbergs_2025_phq,item_response_warehouse_2,cov_trans,36
suicide_reinbergs_2025_phq,item_response_warehouse_2,cov_gender,36
suicide_reinbergs_2025_phq,item_response_warehouse_2,cov_income,18
suicide_reinbergs_2025_phq,item_response_warehouse_2,cov_locale,9
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,cov_orientation,44
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,cov_trans,16
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,cov_gender,16
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,cov_income,8
suicide_reinbergs_2025_sbqr,item_response_warehouse_2,cov_locale,4
suicide_reinbergs_2025_soss,item_response_warehouse_2,cov_orientation,88
suicide_reinbergs_2025_soss,item_response_warehouse_2,cov_trans,32
suicide_reinbergs_2025_soss,item_response_warehouse_2,cov_gender,32
suicide_reinbergs_2025_soss,item_response_warehouse_2,cov_income,16
suicide_reinbergs_2025_soss,item_response_warehouse_2,cov_locale,8
suicide_reinbergs_2025_stig,item_response_warehouse_2,cov_orientation,99
suicide_reinbergs_2025_stig,item_response_warehouse_2,cov_trans,36
suicide_reinbergs_2025_stig,item_response_warehouse_2,cov_gender,36
suicide_reinbergs_2025_stig,item_response_warehouse_2,cov_income,18
suicide_reinbergs_2025_stig,item_response_warehouse_2,cov_locale,9
suicide_reinbergs_2025_stosa,item_response_warehouse_2,cov_orientation,132
suicide_reinbergs_2025_stosa,item_response_warehouse_2,cov_trans,48
suicide_reinbergs_2025_stosa,item_response_warehouse_2,cov_gender,48
suicide_reinbergs_2025_stosa,item_response_warehouse_2,cov_income,24
suicide_reinbergs_2025_stosa,item_response_warehouse_2,cov_locale,12
