source,journal,doi,title,url,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
plos,plosone,10.1371/journal.pone.0168748,Highly Educated Men Establish Strong Emotional Links with Their Dogs: A Study with Monash Dog Owner Relationship Scale (MDORS) in Committed Spanish Dog Owners,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168748,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: Complete collected data of our study sample.   https://doi.o",All authors have agreed to make all data fully available without restriction. They have addressed this point by providing all their data as Supporting Information (submitted file: “S1_File.xls”).,,journal.pone.0168748_S1_File.xls,218954.0,2926.0,75.0,0.9977,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0147938,A Voxel-Based Morphometric MRI Study in Young Adults with Borderline Personality Disorder,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0147938,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Data of demographic and clinical characteristics of all subj",All relevant data are within the paper and its Supporting Information file.,,journal.pone.0147938_S1_Dataset.xls,612.0,68.0,9.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0326528,"Psychological richness as a distinct dimension of well-being: Links to mental, social, and physical health",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0326528,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: Fully anonymized dataset used in the analyses.   https://doi",All relevant data are within the manuscript and its  Supporting information  files.,,journal.pone.0326528_S1_Dataset.csv,657162.0,11041.0,60.0,0.992,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0283992,How do older women perceive the occupations and activities within their maternal role? Findings from an exploratory survey,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0283992,cc-by,human_assistance,"QC failed on: dup_id_item | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0283992.s001","The data set is available to other researchers for replication purposes, and was uploaded as  supporting materials",,journal.pone.0283992_S1_Data.sav,1873.0,316.0,6.0,0.9879,0.0,aggregate_continuous,dup_id_item with ratio=1.0× and n_participants=316 — possible longitudinal data but the high repeat rate and resp_ordinal* warning suggest responses may be continuous. Quick data check needed.
plos,plosone,10.1371/journal.pone.0189820,Depression and alcohol use disorder at antiretroviral therapy initiation led to disengagement from care in South Africa,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189820,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: De-identified version of the data collected and analyzed in ",All relevant data are within the paper and its Supporting Information files.,,journal.pone.0189820_S1_Data.csv,2040.0,136.0,15.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0303911,Determinants of social participation in people with disability,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0303911,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values* | SI caption: https://doi.org/10.1371/journal.pone.0303911.s002",Data are uploaded as  supporting file .,,journal.pone.0303911_S1_Dataset.xlsx,1360.0,85.0,16.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0260659,"Relationships between ICT competencies related to work, self-esteem, and self-regulated learning with engineering competencies",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260659,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale* | SI caption: https://doi.org/10.1371/journal.pone.0260659.s002",All relevant data are within the manuscript and its  Supporting Information  files.,,journal.pone.0260659_S1_Dataset.xlsx,70291.0,1313.0,54.0,0.9914,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0242504,A test of a triadic conceptualization of future self-identification,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0242504,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Sample 1 data file in.csv format.   https://doi.org/10.1371/",All relevant data are within the  Supporting Information  files.,,journal.pone.0242504_S2_File.csv,6554.0,549.0,12.0,0.9948,5.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0240504,Associations between parental bonding during childhood and functional recovery in patients with schizophrenia,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240504,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: https://doi.org/10.1371/journal.pone.0240504.s001",All relevant data are within the manuscript and its Supporting Information file.,,journal.pone.0240504_S1_Data.csv,823.0,70.0,12.0,0.9798,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
plos,plosone,10.1371/journal.pone.0209121,"Grit is associated with lower level of depression and anxiety among university students in Chiang Mai, Thailand: A cross-sectional study",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0209121,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction* | SI caption: Dataset of the study.   https://doi.org/10.1371/journal.pone",The data will be provided as Supporting Information files.,,journal.pone.0209121_S1_Dataset.sav,2400.0,800.0,3.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
