_key,source,title,url,doi,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,license
10.6084/m9.figshare.32315040.v1,figshare,Acupuncture modulates the gut microbiota–brain axis to improve working memory in perimenopausal insomnia: an integrative multi-omics study,https://figshare.com/articles/dataset/Acupuncture_modulates_the_gut_microbiota_brain_axis_to_improve_working_memory_in_perimenopausal_insomnia_an_integrative_multi-omics_study/32315040,10.6084/m9.figshare.32315040.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['No.', 'Name']",,,,,Multi_Omics_Dataset.xlsx,0.0,
https://osf.io/qj8v5/,osf,"Does Digital Offloading Reduce Cognitive Load at the Expense of Attentional Control, or Does it Promote Cognitive Resilience in Young Adults? A Thematic Literature Review",https://osf.io/qj8v5/,,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['#', 'Name / Title', 'Study Type', 'Participants', 'Main Focus', 'Cognitive Variable(s)', 'Key Findings', 'Theme', 'Access']",,,,,tlr .xlsx,0.0,
10.7910/dvn/ije2pc,dataverse,Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years,https://doi.org/10.7910/DVN/IJE2PC,10.7910/dvn/ije2pc,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['\xa0', 'Variable Name', 'Variable Label', 'Response Category', 'Value Label Format', 'Notes', 'Generated variable', 'Baseline/Screening', '3 mo', '6 mo', '12 mo', '24 mo', '36 mo']",,,,,Bachpan Data Dictionary Sharing.xlsx,0.0,
10.6084/m9.figshare.32016954.v1,figshare,"Survey data on financial knowledge, financial self-efficacy, financial attitude, and financial behavior among Indonesian Gen Z",https://figshare.com/articles/dataset/Survey_data_on_financial_knowledge_financial_self-efficacy_financial_attitude_and_financial_behavior_among_Indonesian_Gen_Z/32016954,10.6084/m9.figshare.32016954.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['CODEBOOK', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,"Codebook, Questionnaire, and Variable Dictionary.xlsx",1.0,
10.6084/m9.figshare.31649446.v1,figshare,"Neurocognition, Attention and Working Memory in Latin America: A Synthetic Dataset",https://figshare.com/articles/dataset/Neurocognition_Attention_and_Working_Memory_in_Latin_America_A_Synthetic_Dataset/31649446,10.6084/m9.figshare.31649446.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'undefined' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['undefined']",,,,,neurocognition_attention_working_memory_latinamerica.csv,0.0,
10.25403/upresearchdata.30203737.v1,figshare,"Underexplored impact of AI on fostering reading comprehension and key 21st-century skills including critical thinking, creativity, and collaboration in the Global South",https://researchdata.up.ac.za/articles/dataset/Underexplored_impact_of_AI_on_fostering_reading_comprehension_and_key_21st-century_skills_including_critical_thinking_creativity_and_collaboration_in_the_Global_South/30203737,10.25403/upresearchdata.30203737.v1,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column '[{' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['[{']",,,,,Data and Thematic Analysis - Interactive Book -Shoe Dog.xlsx,0.0,
10.7910/dvn/nyh6zk,dataverse,Lactate restores PGC1alpha and BDNF expression rescuing cognitive impairments in a mouse model for schizophrenia,https://doi.org/10.7910/DVN/NYH6ZK,10.7910/dvn/nyh6zk,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used first column 'Unnamed: 0' as fallback — verify this is the person identifier. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2']",,,,,BBR Lactate manuscript data updated_02_16_2026.xlsx,0.0,
10.7910/dvn/ghjwgi,dataverse,Examining the role of sleep-disordered breathing in cognitive and quality of life impairment in children with CHD,https://doi.org/10.7910/DVN/GHJWGI,10.7910/dvn/ghjwgi,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable Name', 'Variable Label', 'Measurement Level', 'ColumnWidth']",,,,,CHD SDB data dictionary.xlsx,0.0,
10.6084/m9.figshare.30195541.v1,figshare,Dataset for: Sleep Quality as a Mediator Between Lifestyle and Cognitive and Agentic Student Engagement: A Structural Equation Modeling Approach,https://figshare.com/articles/dataset/Dataset_for_Sleep_Quality_as_a_Mediator_Between_Lifestyle_and_Cognitive_and_Agentic_Student_Engagement_A_Structural_Equation_Modeling_Approach/30195541,10.6084/m9.figshare.30195541.v1,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: [';AGE;SEX;WEIGHT;HEIGHT;EET_01;EET_02;EET_03;EET_04;EET_05;EET_06;EET_07;EET_08;EET_09;EET_10;EET_11;EET_12;EET_13;EET_14;EET_15;EET_16;EET_17;EET_18;EET_19;EET_20;EET_21;EET_22;EET_23;EET_24;EET_25;EET_26;EET_27;EET_28;EET_29;IPAQ_A_32;PSQI_01_H;PSQI_0,,,,,Final-dataset.csv,1.0,
10.1371/journal.pmen.0000333.s004,figshare,"HCWs with symptoms of depression, anxiety or PTSDs categorized by clinical cut-off scores.",https://plos.figshare.com/articles/dataset/HCWs_with_symptoms_of_depression_anxiety_or_PTSDs_categorized_by_clinical_cut-off_scores_/29294763,10.1371/journal.pmen.0000333.s004,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Categories according to clinical cut-off values', 'Nov 2020', 'Dec 2020', 'May 2021', 'Dec 2021', 'Mar 2023']",,,,,pmen.0000333.s004.xlsx,0.0,
