source,title,doi,published,url
figshare,The Effects of AI Self-Efficacy and AI Anxiety on Writing Self-Regulated Learning,10.6084/m9.figshare.32994878.v1,2026-07-15T11:45:46Z,https://figshare.com/articles/dataset/The_Effects_of_AI_Self-Efficacy_and_AI_Anxiety_on_Writing_Self-Regulated_Learning/32994878
figshare,Cultural Adaptation and Validation of the Persian Version of the Drug-Taking Confidence Questionnaire (DTCQ-IV): A Relapse Prevention Tool for Iran’s Opioid Crisis,10.6084/m9.figshare.32984104.v1,2026-07-14T14:50:44Z,https://tandf.figshare.com/articles/dataset/Cultural_Adaptation_and_Validation_of_the_Persian_Version_of_the_Drug-Taking_Confidence_Questionnaire_DTCQ-IV_A_Relapse_Prevention_Tool_for_Iran_s_Opioid_Crisis/32984104
zenodo,"Sociodemographic, Academic, and Psychometric Dataset on Anxiety, Depression, and Academic Performance in High School Students",10.5281/zenodo.21689750,2026-07-29,
dryad,Data from: MEG oscillation-based functional connectivity identifies clinically relevant depression phenotypes,10.5061/dryad.4b8gthts3,2026-07-09,https://datadryad.org/dataset/doi:10.5061/dryad.4b8gthts3
dryad,Not just mutations: Inbreeding depression persists without genetic variation,10.5061/dryad.zs7h44jqs,2026-06-05,https://datadryad.org/dataset/doi:10.5061/dryad.zs7h44jqs
figshare,<p>Multivariable linear regression analysis of caregivers mean perceived Quality of Life (QoL) score.</p>,10.1371/journal.pone.0355872.t007,2026-08-13T17:37:28Z,https://plos.figshare.com/articles/dataset/_p_Multivariable_linear_regression_analysis_of_caregivers_mean_perceived_Quality_of_Life_QoL_score_p_/33248296
figshare,"<p>Correlation analysis of Quality of Life Domains, PHQ-9, and GAD-7 Scores with Zarit Burden Interview Scores using Karl Pearson’s Coefficient of Correlation.</p>",10.1371/journal.pone.0355872.t003,2026-08-13T17:37:24Z,https://plos.figshare.com/articles/dataset/_p_Correlation_analysis_of_Quality_of_Life_Domains_PHQ-9_and_GAD-7_Scores_with_Zarit_Burden_Interview_Scores_using_Karl_Pearson_s_Coefficient_of_Correlation_p_/33248284
figshare,"<p>Indirect, and Total Effects of Social Media Use on Depression and Anxiety through Exposure to Online Racism (N = 1005).</p>",10.1371/journal.pdig.0001243.t003,2026-08-13T17:21:32Z,https://plos.figshare.com/articles/dataset/_p_Indirect_and_Total_Effects_of_Social_Media_Use_on_Depression_and_Anxiety_through_Exposure_to_Online_Racism_N_1005_p_/33246546
figshare,<p>Direct Effects of Social Media Use on Depression and Anxiety through Exposure to Online Racism (N = 1005).</p>,10.1371/journal.pdig.0001243.t002,2026-08-13T17:21:30Z,https://plos.figshare.com/articles/dataset/_p_Direct_Effects_of_Social_Media_Use_on_Depression_and_Anxiety_through_Exposure_to_Online_Racism_N_1005_p_/33246543
figshare,Data for SureshETAL Social media use and depression across 11 years of U.S. adult data,10.6084/m9.figshare.33245883.v1,2026-08-13T14:41:28Z,https://figshare.com/articles/dataset/Data_for_SureshETAL_Social_media_use_and_depression_across_11_years_of_U_S_adult_data/33245883
figshare,"<p>Distribution of depression, anxiety, and stress among participants.</p>",10.1371/journal.pone.0352129.t003,2026-08-12T17:40:45Z,https://plos.figshare.com/articles/dataset/_p_Distribution_of_depression_anxiety_and_stress_among_participants_p_/33232564
figshare,"Additional file 4 of Real-world analysis of depression-related adverse events associated with the adsorbed anthrax vaccine: integrating pharmacovigilance signals, machine learning risk prediction, and transcriptomic mechanisms",10.6084/m9.figshare.33202694.v1,2026-08-11T05:20:58Z,https://springernature.figshare.com/articles/dataset/Additional_file_4_of_Real-world_analysis_of_depression-related_adverse_events_associated_with_the_adsorbed_anthrax_vaccine_integrating_pharmacovigilance_signals_machine_learning_risk_prediction_and_transcriptomic_mechanisms/33202694
figshare,"Additional file 3 of Real-world analysis of depression-related adverse events associated with the adsorbed anthrax vaccine: integrating pharmacovigilance signals, machine learning risk prediction, and transcriptomic mechanisms",10.6084/m9.figshare.33202691.v1,2026-08-11T05:20:57Z,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Real-world_analysis_of_depression-related_adverse_events_associated_with_the_adsorbed_anthrax_vaccine_integrating_pharmacovigilance_signals_machine_learning_risk_prediction_and_transcriptomic_mechanisms/33202691
figshare,"Additional file 2 of Real-world analysis of depression-related adverse events associated with the adsorbed anthrax vaccine: integrating pharmacovigilance signals, machine learning risk prediction, and transcriptomic mechanisms",10.6084/m9.figshare.33202688.v1,2026-08-11T05:20:56Z,https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Real-world_analysis_of_depression-related_adverse_events_associated_with_the_adsorbed_anthrax_vaccine_integrating_pharmacovigilance_signals_machine_learning_risk_prediction_and_transcriptomic_mechanisms/33202688
