source,title,doi,published,url
figshare,"<p>Reliability, means, standard deviation and correlations between PFW, well-being and work outcomes measures.</p>",10.1371/journal.pone.0355712.t004,2026-08-13T17:32:04Z,https://plos.figshare.com/articles/dataset/_p_Reliability_means_standard_deviation_and_correlations_between_PFW_well-being_and_work_outcomes_measures_p_/33247638
figshare,Mental Health and Wellbeing,10.25413/sun.30217717.v2,2026-08-13T13:29:19Z,https://scholardata.sun.ac.za/articles/dataset/_b_Mental_Health_and_Wellbeing_b_b_A_Practical-_Theological_Investigation_of_b_b_the_b_b_Impact_of_b_b_b_b_Traditional_Healing_b_b_Processes_on_b_b_Mental_Health_Patients_b_b_b_b_in_the_Nongoma_District_of_KZN_South_Africa_b_b_i_i_b_/30217717
surf,Reciprocal Relations of Recovery Activities and Employee Well-being: A Shortitudinal Study Using the Random Intercept Cross-Lagged Panel Model,10.34894/ivimpc,2026-05-20T14:01:07Z,https://doi.org/10.34894/IVIMPC
surf,Replication Data for Chapter 3: Social media and Son Preference - Evidence from India,10.34894/fcshoq,2026-08-11T14:52:01Z,https://doi.org/10.34894/FCSHOQ
zenodo,Extended Data File 1: Student Satisfaction Survey Questionnaire — What Drives Student Satisfaction in Higher Education? Evidence from Top-Accredited Indonesian Universities,10.5281/zenodo.20644303,2026-06-11,
figshare,<p>Italian translation of the PFW-9 and the item-level statistics.</p>,10.1371/journal.pone.0355712.t003,2026-08-13T17:32:03Z,https://plos.figshare.com/articles/dataset/_p_Italian_translation_of_the_PFW-9_and_the_item-level_statistics_p_/33247635
figshare,<p>Italian translation of the PFW-29 and the item-level statistics.</p>,10.1371/journal.pone.0355712.t002,2026-08-13T17:32:02Z,https://plos.figshare.com/articles/dataset/_p_Italian_translation_of_the_PFW-29_and_the_item-level_statistics_p_/33247632
figshare,<p>Measurement invariance of the (PDWS) across education level (High school or less vs Bachelor vs Postgraduate).</p>,10.1371/journal.pone.0354474.t011,2026-07-30T17:29:31Z,https://plos.figshare.com/articles/dataset/_p_Measurement_invariance_of_the_PDWS_across_education_level_High_school_or_less_vs_Bachelor_vs_Postgraduate_p_/33124214
figshare,<p>Measurement invariance of the (PDWS) across gender (Male vs Female).</p>,10.1371/journal.pone.0354474.t010,2026-07-30T17:29:30Z,https://plos.figshare.com/articles/dataset/_p_Measurement_invariance_of_the_PDWS_across_gender_Male_vs_Female_p_/33124211
figshare,"<p>Convergent Validity Correlations Between PDWS Scores, SWLS, and FoMO Across Two Independent Subsamples.</p>",10.1371/journal.pone.0354474.t007,2026-07-30T17:29:27Z,https://plos.figshare.com/articles/dataset/_p_Convergent_Validity_Correlations_Between_PDWS_Scores_SWLS_and_FoMO_Across_Two_Independent_Subsamples_p_/33124202
figshare,"<p>Confirmatory Factor Analysis Model Fit Indices for the Second-Order PDWS Model (CFA Subsample, n = 225).</p>",10.1371/journal.pone.0354474.t004,2026-07-30T17:29:24Z,https://plos.figshare.com/articles/dataset/_p_Confirmatory_Factor_Analysis_Model_Fit_Indices_for_the_Second-Order_PDWS_Model_CFA_Subsample_n_225_p_/33124193
figshare,"<p>Attachment to animals, socio-emotional support from animals, amount of animal contact, and animal species related to loneliness, life satisfaction, and psychological well-being.</p>",10.1371/journal.pone.0352778.t006,2026-07-29T17:23:08Z,https://plos.figshare.com/articles/dataset/_p_Attachment_to_animals_socio-emotional_support_from_animals_amount_of_animal_contact_and_animal_species_related_to_loneliness_life_satisfaction_and_psychological_well-being_p_/33113800
figshare,"<p>Loneliness, life satisfaction, psychological well-being, and human social support by pet ownership and regular animal contact status.</p>",10.1371/journal.pone.0352778.t004,2026-07-29T17:23:06Z,https://plos.figshare.com/articles/dataset/_p_Loneliness_life_satisfaction_psychological_well-being_and_human_social_support_by_pet_ownership_and_regular_animal_contact_status_p_/33113794
figshare,<p>Responses to health preference questions.</p>,10.1371/journal.pone.0341994.t002,2026-07-29T17:22:27Z,https://plos.figshare.com/articles/dataset/_p_Responses_to_health_preference_questions_p_/33113732
figshare,"ResearchBox 293, 'Bedtime music, sleep, & well-being'",10.5281/zenodo.15032777,2026-07-28T11:22:40Z,https://researchdata.smu.edu.sg/articles/dataset/ResearchBox_293_Bedtime_music_sleep_well-being_/30749879
figshare,Data and calculations for RECONSTRUCTING THE WELLBEING CONCEPT THROUGH AN INTEGRATIVE APPROACH,10.6084/m9.figshare.33084674.v1,2026-07-24T19:49:34Z,https://figshare.com/articles/dataset/Data_and_calculations_for_RECONSTRUCTING_THE_WELLBEING_CONCEPT_THROUGH_AN_INTEGRATIVE_APPROACH/33084674
figshare,<p>Factors associated with respondents’ level of psychological wellbeing <i>N</i> = 300.</p>,10.1371/journal.pone.0353748.t003,2026-07-15T17:34:57Z,https://plos.figshare.com/articles/dataset/_p_Factors_associated_with_respondents_level_of_psychological_wellbeing_i_N_i_300_p_/32998128
figshare,<p>Respondents’ level of psychological wellbeing <i>N</i> = 300.</p>,10.1371/journal.pone.0353748.t002,2026-07-15T17:34:56Z,https://plos.figshare.com/articles/dataset/_p_Respondents_level_of_psychological_wellbeing_i_N_i_300_p_/32998125
figshare,Psychometric validation of the Turkish Illness Identity Questionnaire (IIQ-TR),10.6084/m9.figshare.32901440.v1,2026-07-05T06:02:51Z,https://tandf.figshare.com/articles/dataset/Psychometric_validation_of_the_Turkish_Illness_Identity_Questionnaire_IIQ-TR_/32901440
figshare,"<b>Associations between Self-Acceptance, Cognitive Reappraisal, and Life Satisfaction among Adolescents: A Three-Wave Study</b>",10.6084/m9.figshare.32687751.v1,2026-06-16T14:58:54Z,https://figshare.com/articles/dataset/_b_Associations_between_Self-Acceptance_Cognitive_Reappraisal_and_Life_Satisfaction_among_Adolescents_A_Three-Wave_Study_b_/32687751
figshare,"Supplementary information files for ""Locations of leisure-time physical activity and well-being in middle-aged and older women in Japan""",10.17028/rd.lboro.32677923.v1,2026-06-15T14:49:21Z,https://repository.lboro.ac.uk/articles/dataset/Supplementary_information_files_for_Locations_of_leisure-time_physical_activity_and_well-being_in_middle-aged_and_older_women_in_Japan_/32677923
figshare,Early-Life Circumstance and Adult Psychological Well-Being,10.6084/m9.figshare.32671777.v1,2026-06-15T01:41:42Z,https://tandf.figshare.com/articles/dataset/Early-Life_Circumstance_and_Adult_Psychological_Well-Being/32671777
figshare,Quality of life outcomes in neuropathic orofacial pain: an umbrella review of therapeutic interventions,10.6084/m9.figshare.32665733.v1,2026-06-13T11:00:02Z,https://tandf.figshare.com/articles/dataset/Quality_of_life_outcomes_in_neuropathic_orofacial_pain_an_umbrella_review_of_therapeutic_interventions/32665733
figshare,The associations of sleep parameters with sexual quality of life among postmenopausal women,10.6084/m9.figshare.32413829.v1,2026-05-27T04:32:59Z,https://tandf.figshare.com/articles/dataset/The_associations_of_sleep_parameters_with_sexual_quality_of_life_among_postmenopausal_women/32413829
figshare,"<b>Wellbeing, lifestyle and demographics, Malta, 2018-2024 (summary statistics)</b>",10.60809/drum.30920516.v1,2026-05-19T10:12:54Z,https://drum.um.edu.mt/articles/dataset/_b_Wellbeing_lifestyle_and_demographics_Malta_2018-2024_summary_statistics_b_/30920516
figshare,Table_2_Profiling hearing aid users through big data explainable artificial intelligence techniques.DOCX,10.3389/fneur.2022.933940.s002,2026-05-18T14:24:21Z,https://frontiersin.figshare.com/articles/dataset/Table_2_Profiling_hearing_aid_users_through_big_data_explainable_artificial_intelligence_techniques_DOCX/32316201
figshare,Table_3_Profiling hearing aid users through big data explainable artificial intelligence techniques.DOCX,10.3389/fneur.2022.933940.s003,2026-05-18T14:24:21Z,https://frontiersin.figshare.com/articles/dataset/Table_3_Profiling_hearing_aid_users_through_big_data_explainable_artificial_intelligence_techniques_DOCX/32316204
figshare,Table_1_Profiling hearing aid users through big data explainable artificial intelligence techniques.DOCX,10.3389/fneur.2022.933940.s001,2026-05-18T14:24:20Z,https://frontiersin.figshare.com/articles/dataset/Table_1_Profiling_hearing_aid_users_through_big_data_explainable_artificial_intelligence_techniques_DOCX/32316198
surf,Mapping existentially impactful life events using the Reconstruction of Life Events (RE-LIFE) Questionnaire: A validation study in cancer patients,10.34894/ksz9ao,2026-06-29T09:15:51Z,https://doi.org/10.34894/KSZ9AO
zenodo,"Dataset on loneliness, social isolation, mental health, and wellbeing in older adults living in urban and rural Pyrenean areas of La Rioja, Spain",10.5281/zenodo.21345275,2026-07-13,
figshare,<p>Linear mixed-effects model of daily subjective cognition predicted by daily and baseline mood and subjective cognition (complete-case data).</p>,10.1371/journal.pone.0353474.t003,2026-07-10T17:49:37Z,https://plos.figshare.com/articles/dataset/_p_Linear_mixed-effects_model_of_daily_subjective_cognition_predicted_by_daily_and_baseline_mood_and_subjective_cognition_complete-case_data_p_/32960236
figshare,<p>Linear mixed-effects model of daily subjective cognition predicted by daily and baseline mood and subjective cognition (imputed data).</p>,10.1371/journal.pone.0353474.t002,2026-07-10T17:49:36Z,https://plos.figshare.com/articles/dataset/_p_Linear_mixed-effects_model_of_daily_subjective_cognition_predicted_by_daily_and_baseline_mood_and_subjective_cognition_imputed_data_p_/32960233
figshare,"ResearchBox 1950, 'AI Venting and Negative Affect', https://researchbox.org/1950",10.5281/zenodo.15039713,2026-07-07T10:29:16Z,https://researchdata.smu.edu.sg/articles/dataset/ResearchBox_1950_AI_Venting_and_Negative_Affect_https_researchbox_org_1950/32069727
zenodo,THE PSYCHOLOGICAL IMPACT OF USING ARTIFICIAL INTELLIGENCE TECHNOLOGIES ON STUDENTS' ACADEMIC MOTIVATION AND INDEPENDENT EDUCATION,10.5281/zenodo.21238645,2026-07-07,
zenodo,THE ROLE OF ARTIFICIAL INTELLIGENCE IN DEVELOPING EFL LEARNERS' ACADEMIC WRITING SKILLS,10.5281/zenodo.21894388,2026-08-11,
zenodo,THE IMPACT OF A HEUTAGOGICAL APPROACH TO INSTRUCTION ON STUDENTS' ACADEMIC ACHIEVEMENT,10.5281/zenodo.21801247,2026-08-05,
zenodo,MODERN METHODOLOGIES IN ENGLISH LANGUAGE TEACHING: INNOVATIVE APPROACHES AND THEIR IMPACT ON LEARNER ACHIEVEMENT,10.5281/zenodo.20302477,2026-05-20,
zenodo,THE RELATIONSHIP BETWEEN EMOTIONAL INTELLIGENCE AND STRESS RESILIENCE AMONG UNIVERSITY STUDENTS,10.5281/zenodo.20443520,2026-05-29,
figshare,"Multiple Pathways to Scientific Academic Achievement: A Fuzzy-Set Analysis of Socioeconomic Status, Scientific Creative Thinking, and Motivation",10.6084/m9.figshare.33090965.v1,2026-07-27T04:16:45Z,https://figshare.com/articles/dataset/Multiple_Pathways_to_Scientific_Academic_Achievement_A_Fuzzy-Set_Analysis_of_Socioeconomic_Status_Scientific_Creative_Thinking_and_Motivation/33090965
zenodo,AI Usage and Quiet Quitting: Work Engagement and Well-Being as Pathways,10.5281/zenodo.20447402,2026-05-29,
zenodo,ARTIFICIAL INTELLIGENCE COMPETENCIES AND EMOTIONAL INTELLIGENCE AS DRIVERS OF AI-DRIVEN TRANSFORMATIONAL LEADERSHIP: IMPLICATIONS FOR EMPLOYEE WORK ENGAGEMENT,10.5281/zenodo.21295036,2026-07-10,
figshare,Early Notes on Cognitive Overload in Digital Environments — Historical Reference Archive,10.6084/m9.figshare.31093783.v5,2026-08-05T20:03:09Z,https://figshare.com/articles/dataset/Cognitive_Hygiene_and_the_Loss_of_Stop_Conditions_in_Modern_Systems/31093783
figshare,<b>Assessing Collaborative Behaviour in Primary Education: Initial Psychometric Evidence for the Collaborative Behaviour Observation Scale (COBOS)</b>,10.6084/m9.figshare.33033575.v1,2026-07-20T10:25:06Z,https://figshare.com/articles/dataset/_b_Assessing_Collaborative_Behaviour_in_Primary_Education_Initial_Psychometric_Evidence_for_the_Collaborative_Behaviour_Observation_Scale_COBOS_b_/33033575
figshare,The human side of retail resilience: Exploring employee well-being as a driver of human-centric innovation,10.6084/m9.figshare.32987496.v1,2026-07-14T18:28:15Z,https://tandf.figshare.com/articles/dataset/The_human_side_of_retail_resilience_Exploring_employee_well-being_as_a_driver_of_human-centric_innovation/32987496
figshare,Cognitive and non-cognitive efficiency gaps between private and public schools and their determinants in the Latin America region–a hybrid data envelopment analysis and interpretable machine learning approach based on PISA 2022,10.6084/m9.figshare.32633423.v1,2026-06-10T14:11:37Z,https://tandf.figshare.com/articles/dataset/Cognitive_and_non-cognitive_efficiency_gaps_between_private_and_public_schools_and_their_determinants_in_the_Latin_America_region_a_hybrid_data_envelopment_analysis_and_interpretable_machine_learning_approach_based_on_PISA_2022/32633423
figshare,"Data SLR Employee Performance through Digital Literacy, Work–Life Balance, Employee Engagement, and Training & Development",10.6084/m9.figshare.29977003.v2,2026-06-08T10:22:38Z,https://figshare.com/articles/dataset/Data_SLR_Employee_Performance_through_Digital_Literacy_Work_Life_Balance_Employee_Engagement_and_Training_Development/29977003
dryad,Data from: Eastern bluebird cognitive performance is resilient to acute anthropogenic noise disturbance,10.5061/dryad.fxpnvx15f,2026-05-19,https://datadryad.org/dataset/doi:10.5061/dryad.fxpnvx15f
figshare,"Datasets for exploring the link between Distractibility, Procrastination and ADHD-like traits: Questionnaire measures, Flanker task Congruency Effects, and Delta Plot Analyses",10.15131/shef.data.33121544.v1,2026-08-04T10:28:56Z,https://orda.shef.ac.uk/articles/dataset/Datasets_for_exploring_the_link_between_Distractibility_Procrastination_and_ADHD-like_traits_Questionnaire_measures_Flanker_task_Congruency_Effects_and_Delta_Plot_Analyses/33121544
figshare,Raw data feedback literacy SEM,10.6084/m9.figshare.32969165.v1,2026-07-12T18:03:01Z,https://figshare.com/articles/dataset/Raw_data_feedback_literacy_SEM/32969165
