date	n_tables	tagged	tagged_pct	age_range	child_age	sample	construct_type	measurement_tool	item_format	primary_languages	construct_name	itemtext	itemtext_pct	orphan_tag_rows
2026-08-31	4134	2286	55.3	NA	NA	NA	NA	NA	NA	NA	NA	558	13.5	194
2026-09-01	4134	2286	55.3	2243	NA	NA	2254	NA	NA	NA	NA	558	13.5	194
2026-09-01	4134	3061	74	3023	NA	NA	2254	NA	NA	NA	NA	558	13.5	0
2026-09-01	4134	3066	74.2	3029	NA	NA	2254	NA	NA	NA	NA	558	13.5	0
2026-09-01	4134	3103	75.1	3029	NA	NA	2254	NA	NA	NA	NA	558	13.5	0
2026-09-02	4134	3103	75.1	3029	NA	NA	2254	NA	NA	NA	NA	558	13.5	0
2026-09-03	4134	3103	75.1	3029	708	2257	2254	2319	2310	2602	2265	558	13.5	0
